epoch,accuracy,loss,val_accuracy,val_loss
0,0.260261207818985,2.0072474479675293,0.328125,1.9621609449386597
1,0.48041045665740967,1.539941668510437,0.5580357313156128,1.3273279666900635
2,0.575559675693512,1.2941261529922485,0.6004464030265808,1.179036021232605
3,0.6352611780166626,1.0918270349502563,0.6629464030265808,1.0744553804397583
4,0.6977611780166626,0.9512718915939331,0.6986607313156128,0.9195491075515747
5,0.7583954930305481,0.8029077649116516,0.7142857313156128,0.911736786365509
6,0.7751865386962891,0.7573815584182739,0.7142857313156128,0.8635611534118652
7,0.8171641826629639,0.6357006430625916,0.7410714030265808,0.8108527064323425
8,0.8395522236824036,0.5433955192565918,0.7678571343421936,0.778276264667511
9,0.8638059496879578,0.5095597505569458,0.7745535969734192,0.726420521736145
10,0.8777984976768494,0.4560815989971161,0.7566964030265808,0.8187047243118286
11,0.8889925479888916,0.4029020369052887,0.7388392686843872,0.8659194707870483
12,0.89552241563797,0.39694371819496155,0.7745535969734192,0.756860613822937
13,0.9113805890083313,0.33989161252975464,0.796875,0.7035202980041504
14,0.9263059496879578,0.31024667620658875,0.7678571343421936,0.7007488012313843
15,0.9347015023231506,0.27133405208587646,0.7745535969734192,0.7340417504310608
16,0.9468283653259277,0.2592489719390869,0.7991071343421936,0.639471709728241
17,0.9552238583564758,0.2340422421693802,0.796875,0.6554969549179077
18,0.9645522236824036,0.20741276443004608,0.8080357313156128,0.6317230463027954
19,0.9636194109916687,0.19892795383930206,0.7700892686843872,0.7376030087471008
20,0.9570895433425903,0.1985563039779663,0.8035714030265808,0.7053460478782654
21,0.9720149040222168,0.17353543639183044,0.7946428656578064,0.7751239538192749
22,0.9673507213592529,0.18067605793476105,0.8080357313156128,0.6549792289733887
23,0.9860074520111084,0.14031799137592316,0.8125,0.6636994481086731
24,0.9729477763175964,0.15316233038902283,0.8035714030265808,0.7389222979545593
25,0.9916045069694519,0.12269321829080582,0.8125,0.6975255608558655
26,0.9916045069694519,0.11068616807460785,0.8125,0.6816397309303284
27,0.9878731369972229,0.12041258811950684,0.8348214030265808,0.5945058465003967
28,0.9906716346740723,0.10334738343954086,0.8058035969734192,0.7179766297340393
29,0.9804104566574097,0.13185133039951324,0.8102678656578064,0.7151932716369629
