epoch,accuracy,loss,val_accuracy,val_loss
0,0.42257463932037354,1.6799074411392212,0.5625,1.286465048789978
1,0.6921641826629639,1.0029767751693726,0.6986607313156128,0.9918917417526245
2,0.7649253606796265,0.781298041343689,0.7544642686843872,0.7744379043579102
3,0.8311567306518555,0.5897563099861145,0.7611607313156128,0.7605869174003601
4,0.8638059496879578,0.49855685234069824,0.7745535969734192,0.7202761769294739
5,0.9029850959777832,0.39485666155815125,0.8191964030265808,0.7024407982826233
6,0.91697758436203,0.3638302981853485,0.7991071343421936,0.6996597051620483
7,0.933768630027771,0.3069322109222412,0.8147321343421936,0.6547374725341797
8,0.9458954930305481,0.26472729444503784,0.828125,0.6082527041435242
9,0.9486940503120422,0.25300928950309753,0.8370535969734192,0.5822669267654419
10,0.9617537260055542,0.21269702911376953,0.8258928656578064,0.575029730796814
11,0.9561567306518555,0.2220705896615982,0.8325892686843872,0.5736106038093567
12,0.9664179086685181,0.1923416256904602,0.84375,0.5849989652633667
13,0.9785447716712952,0.1573030799627304,0.8459821343421936,0.5230494737625122
14,0.9850746393203735,0.1345106065273285,0.8459821343421936,0.5465471148490906
15,0.986940324306488,0.1295657902956009,0.8303571343421936,0.5843709111213684
16,0.9692164063453674,0.16253912448883057,0.7924107313156128,0.6997900009155273
17,0.9804104566574097,0.14231888949871063,0.828125,0.6246650815010071
18,0.9906716346740723,0.11922796070575714,0.84375,0.5381015539169312
19,0.9953358173370361,0.09527087211608887,0.8571428656578064,0.5152567625045776
20,0.9972015023231506,0.08046721667051315,0.8482142686843872,0.5355731844902039
21,0.9944030046463013,0.08913180977106094,0.8303571343421936,0.5874444842338562
22,0.9944030046463013,0.08481664210557938,0.84375,0.5418070554733276
23,0.9953358173370361,0.08803562074899673,0.8616071343421936,0.5440559983253479
24,0.9990671873092651,0.07248212397098541,0.8526785969734192,0.5045866370201111
25,0.9990671873092651,0.06457122415304184,0.8683035969734192,0.5105084180831909
26,0.9990671873092651,0.058169759809970856,0.8683035969734192,0.5158271789550781
27,1.0,0.05527742952108383,0.8638392686843872,0.5186072587966919
28,0.9990671873092651,0.05261091887950897,0.859375,0.5056442618370056
29,1.0,0.05247468501329422,0.859375,0.5196632146835327
